stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5033,5033,"Ferrovia ""A""",,45.441017,12.322206,,,,,,
5034,5034,"Riva de Biasio ""B""",,45.441998,12.325667,,,,,,
5035,5035,"S. Marcuola-Casino' ""A""",,45.442444,12.328820,,,,,,
5036,5036,S. Stae,,45.441746,12.330798,,,,,,
5037,5037,Ca' d'Oro,,45.440563,12.333899,,,,,,
5038,5038,"Rialto ""D""",,45.437584,12.335558,,,,,,
5039,5039,"Rialto ""C""",,45.437428,12.335405,,,,,,
5040,5040,"Rialto ""B""",,45.437088,12.334779,,,,,,
5041,5041,S. Silvestro,,45.436810,12.333188,,,,,,
5042,5042,S. Angelo,,45.435596,12.330350,,,,,,
5043,5043,"S. Toma' ""B""",,45.435184,12.327917,,,,,,
5044,5044,"S. Toma' ""A""",,45.435249,12.328128,,,,,,
5045,5045,Ca' Rezzonico,,45.433285,12.327133,,,,,,
5046,5046,S. Samuele,,45.433479,12.327600,,,,,,
5047,5047,"Accademia ""B""",,45.431633,12.328705,,,,,,
5048,5048,"Accademia ""A""",,45.431736,12.328523,,,,,,
5049,5049,"Zattere ""B""",,45.429260,12.326280,,,,,,
5050,5050,"Zattere ""A""",,45.429153,12.326800,,,,,,
5051,5051,S. Maria del Giglio,,45.431431,12.332637,,,,,,
5052,5052,Salute,,45.431171,12.334374,,,,,,
5053,5053,"S. Marco Vallaresso ""B""",,45.432125,12.337271,,,,,,
5054,5054,"S. Marco Vallaresso ""A""",,45.432186,12.337525,,,,,,
5056,5056,"S. Marco Giardinetti ""A""",,45.432446,12.338422,,,,,,
5058,5058,Orto,,45.447674,12.332901,,,,,,
5059,5059,S. Alvise,,45.448704,12.329509,,,,,,
5060,5060,"F.te Nove ""C""",,45.443016,12.340888,,,,,,
5061,5061,"F.te Nove ""B""",,45.443138,12.340671,,,,,,
5062,5062,Cimitero San Michele,,45.448673,12.345977,,,,,,
5063,5063,"Murano Colonna ""A""",,45.451107,12.349192,,,,,,
5064,5064,Murano Navagero,,45.454693,12.356580,,,,,,
5065,5065,"Murano Museo ""A""",,45.456104,12.355435,,,,,,
5066,5066,Murano Venier,,45.457447,12.351191,,,,,,
5067,5067,Murano Serenella,,45.454853,12.347479,,,,,,
5068,5068,"Burano ""B""",,45.487602,12.416217,,,,,,
5069,5069,Treporti,,45.471558,12.447123,,,,,,
5070,5070,"Punta Sabbioni ""B""",,45.447639,12.424682,,,,,,
5071,5071,Ferrovia,,45.441292,12.322843,,,,,,
5072,5072,Chioggia,,45.223690,12.280678,,,,,,
5073,5073,Pellestrina Cimitero,,45.262791,12.299958,,,,,,
5075,5075,Tronchetto Mercato,,45.441383,12.309408,,,,,,
5076,5076,"S. Marco-San Zaccaria ""B""",,45.433514,12.344095,,,,,,
5079,5079,S. Lazzaro,,45.412113,12.359925,,,,,,
5081,5081,"Zitelle ""B""",,45.426720,12.337905,,,,,,
5082,5082,Redentore,,45.425579,12.332047,,,,,,
5083,5083,S. Basilio,,45.430534,12.320824,,,,,,
5084,5084,"Guglie ""A""",,45.444294,12.324450,,,,,,
5085,5085,Tre Archi,,45.446289,12.319780,,,,,,
5086,5086,"F.te Nove ""A""",,45.443958,12.339143,,,,,,
5087,5087,"F.te Nove ""D""",,45.442867,12.341126,,,,,,
5088,5088,"Ferrovia ""C""",,45.440372,12.321408,,,,,,
5089,5089,"Ferrovia ""D""",,45.440216,12.321242,,,,,,
5090,5090,Vignole,,45.443707,12.376256,,,,,,
5091,5091,S. Erasmo Capannone,,45.454636,12.388567,,,,,,
5092,5092,S. Erasmo Chiesa,,45.459461,12.410089,,,,,,
5093,5093,S. Erasmo Punta Vela,,45.468380,12.420210,,,,,,
5094,5094,"Lido S.M.E. ""A""",,45.418144,12.368973,,,,,,
5095,5095,"Murano Faro ""B""",,45.452557,12.354241,,,,,,
5096,5096,"Murano Faro ""A""",,45.452663,12.354642,,,,,,
5097,5097,Torcello,,45.495090,12.412183,,,,,,
5098,5098,Lido S. Nicolo',,45.424339,12.377113,,,,,,
5099,5099,Lido S. Nicolo' Ferry,,45.425873,12.378331,,,,,,
5101,5101,Mazzorbo,,45.488094,12.409512,,,,,,
5102,5102,S. Maria del Mare Ferry,,45.332737,12.316975,,,,,,
5103,5103,Alberoni Faro Rocchetta,,45.341526,12.308979,,,,,,
5104,5104,"P.le Roma ""B""",,45.438900,12.316018,,,,,,
5108,5108,"Punta Sabbioni ""A""",,45.447338,12.424333,,,,,,
5109,5109,Punta Sabbioni Ferry,,45.446976,12.424375,,,,,,
5111,5111,S.Erasmo Forte Mass.,,45.445339,12.391397,,,,,,
5112,5112,"P.le Roma ""C""",,45.438629,12.315650,,,,,,
5113,5113,"Burano ""C""",,45.487572,12.416754,,,,,,
5114,5114,"Murano Colonna ""B""",,45.451111,12.348869,,,,,,
5115,5115,Bacini - Arsenale Nord,,45.439205,12.357293,,,,,,
5116,5116,S. Pietro di Castello,,45.433834,12.361842,,,,,,
5117,5117,Murano Da Mula,,45.456116,12.351936,,,,,,
5118,5118,"Zitelle ""A""",,45.426624,12.337678,,,,,,
5119,5119,"Murano Museo ""B""",,45.456139,12.355189,,,,,,
5120,5120,"Murano Colonna ""C""",,45.451134,12.348564,,,,,,
5124,5124,"Giardini ""A""",,45.429760,12.354997,,,,,,
5126,5126,Deposito Arsenale,,45.433453,12.347198,,,,,,
5128,5128,"Giardini Biennale ""A""",,45.428886,12.356096,,,,,,
5129,5129,"Giudecca Palanca ""A""",,45.426899,12.325401,,,,,,
5132,5132,"S. Marcuola-Casino' ""B""",,45.442513,12.328278,,,,,,
5133,5133,"Arsenale ""B""",,45.432896,12.348330,,,,,,
5135,5135,Crea,,45.445278,12.321106,,,,,,
5136,5136,"Riva de Biasio ""A""",,45.441830,12.325079,,,,,,
5137,5137,Zattere Gesuati,,45.429050,12.327344,,,,,,
5138,5138,Rialto Mercato,,45.439453,12.335298,,,,,,
5139,5139,"Sacca Fisola ""B""",,45.428959,12.316327,,,,,,
5142,5142,Deposito Tronchetto,,45.438442,12.303600,,,,,,
5144,5144,Deposito F.te Nove,,45.444786,12.337988,,,,,,
5146,5146,Deposito S. Elena,,45.424648,12.362938,,,,,,
5151,5151,"Burano ""A""",,45.487690,12.415232,,,,,,
5152,5152,"Lido S.M.E. ""E""",,45.417358,12.367540,,,,,,
5154,5154,Deposito Chioggia P.tta V,,45.223713,12.280280,,,,,,
5155,5155,Deposito S.Nicolo',,45.425369,12.377941,,,,,,
5157,5157,Parcheggio P.le Roma,,45.439991,12.318908,,,,,,
5158,5158,"Lido S.M.E. ""C""",,45.417698,12.368246,,,,,,
5159,5159,Spirito Santo,,45.428310,12.331958,,,,,,
5161,5161,Deposito Pieta',,45.433533,12.344774,,,,,,
5166,5166,"Rialto ""A""",,45.436981,12.334541,,,,,,
5189,5189,"Guglie ""B""",,45.444424,12.324183,,,,,,
5191,5191,"Ferrovia ""E""",,45.439873,12.320880,,,,,,
5203,5203,"S. Marco-San Zaccaria ""B""",,45.433666,12.344240,,,,,,
5210,5210,Tronchetto Mercato,,45.441353,12.309132,,,,,,
5213,5213,S. Giobbe,,45.446522,12.318007,,,,,,
5610,5610,Lazzaretto N. A RICHIESTA,,45.454956,12.386839,,,,,,
5618,5618,Certosa A RICHIESTA,,45.430523,12.367644,,,,,,
5619,5619,Celestia A RICHIESTA,,45.439079,12.349660,,,,,,
5621,5621,S. Giorgio A RICHIESTA,,45.429470,12.342235,,,,,,
5078,5078,S. Servolo,,45.419617,12.355350,,,,,,
5692,5692,Vignole A RICHIESTA,,45.443707,12.376256,,,,,,
5693,5693,Torcello A RICHIESTA,,45.495090,12.412183,,,,,,
5698,5698,Lido S.Nicolo' A RICHIEST,,45.424339,12.377112,,,,,,
5715,5715,Bacini A RICHIESTA,,45.439201,12.357294,,,,,,
5717,5717,Caroman A RICHIESTA,,45.243614,12.294000,,,,,,
5778,5778,S. Servolo A RICHIESTA,,45.419624,12.355349,,,,,,
5791,5791,S.Erasmo Cap. A RICHIESTA,,45.454636,12.388569,,,,,,
15075,15075,Tronchetto Mercato,,45.441383,12.309408,,,,,,
15142,15142,Deposito Tronchetto,,45.438442,12.303600,,,,,,
